Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
דרך נגבה 8,"7,800 ₪",12,0,ירושלים,20,17 מתוך 26,0,ירושלים והסביבה,דירה
קרן היסוד 25,"3,200 ₪",12,0,רעננה,90,8 מתוך 9,0,רעננה - כפר סבא,דירה
טופז 10,"4,000 ₪",12,0,נתיבות,190,3 מתוך 5,0,באר שבע והסביבה,דירה
שקדיה 11,"10,000 ₪",12,5.0,קרית ביאליק,37,10 מתוך 20,1,קריות,גג/פנטהאוז
הגיבורים 529,"1,900 ₪",12,0,באר שבע,70,2 מתוך 3,1,באר שבע והסביבה,דירה
וינגייט 68,"3,000 ₪",12,0,אילת,500,2 מתוך 5,0,אילת והערבה,דירה
דרור 4,"2,500 ₪",0,0,אזור,20,4 מתוך 5,0,חולון - בת ים,יחידת דיור
נחל קנה 1,"5,000 ₪",12,2.0,קרית טבעון,90,קרקע מתוך קרקע,1,עמק יזרעאל,דירה
כביר 33,"4,000 ₪",12,1.0,נתניה,190,2 מתוך 3,0,נתניה והסביבה,דירה
כנרת 112,"3,200 ₪",12,0,פתח תקווה,37,קרקע מתוך 2,0,פתח תקוה והסביבה,דו משפחתי
ההגנה 90,"4,500 ₪",12,0,צפת,70,2 מתוך 4,1,גליל ועמקים,יחידת דיור
עזריאל 14,"6,300 ₪",12,3.0,קרית אתא,500,1 מתוך 2,1,קריות,דירה
הכרפס 9,"6,700 ₪",12,0,אשקלון,75,1 מתוך 4,0,אשדוד - אשקלון,דירה
שביל האשל 4,"4,000 ₪",12,0,קרית מוצקין,132,קרקע מתוך 2,0,קריות,דירת גן
ציון בהלול 23,100 ₪,12,3.5,עפולה,137,1 מתוך 2,1,עמק יזרעאל,יחידת דיור
שחף 2,"5,000 ₪",12,0,נשר,96,1 מתוך 3,0,חיפה וחוף הכרמל,דירה
השדות 22,"6,300 ₪",12,0,בני ברק,120,קרקע מתוך קרקע,0,רמת גן - גבעתיים,כללי
נקדימון 11,"4,000 ₪",12,0,ירושלים,96,2 מתוך 4,0,ירושלים והסביבה,דירה
העצמאות 56,"9,000 ₪",12,0,ראשון לציון,120,2 מתוך 3,0,"ראשל""צ והסביבה",דירה
דולב 1,"5,000 ₪",12,0,באר שבע,150,קרקע מתוך 18,0,באר שבע והסביבה,דירה
צריפין 2 1,"7,200 ₪",12,0,קרית אונו,40,קרקע מתוך קרקע,1,בקעת אונו,דירת גן
דוד בן גוריון 16,"4,950 ₪",12,0,ראשון לציון,86,1 מתוך 3,0,"ראשל""צ והסביבה",דירה
יורם חתוכה 29,"4,000 ₪",12,0,תל אביב יפו,24,קרקע מתוך קרקע,0,תל אביב,יחידת דיור
השדות 22,"6,300 ₪",12,0,רחובות,60,3 מתוך 7,0,נס ציונה - רחובות,כללי
נקדימון 11,"4,000 ₪",1,0,רמת ישי,70,3 מתוך 4,1,עמק יזרעאל,דירה
העצמאות 56,"9,000 ₪",12,4.0,מנות,45,2 מתוך 2,0,מושבים בצפון,דירה
דולב 1,"5,000 ₪",12,2.0,אילת,128,3 מתוך 3,0,אילת והערבה,דירה
צריפין 2 1,"7,200 ₪",12,0,באר שבע,110,11 מתוך 12,0,באר שבע והסביבה,דירת גן
דוד בן גוריון 16,"4,950 ₪",12,0,תל אביב יפו,100,2 מתוך 2,1,תל אביב,דירה
יורם חתוכה 29,"4,000 ₪",12,0,קרית ארבע,35,1 מתוך 3,0,ירושלים והסביבה,יחידת דיור
הרב משה בן טוב 6,"8,200 ₪",12,4.0,שדרות,32,8 מתוך 22,1,באר שבע והסביבה,דירה
משעול אלונים 11,"3,700 ₪",12,0,ראשון לציון,55,1 מתוך 1,0,"ראשל""צ והסביבה",דירה
"גדנ""ע 20","3,350 ₪",12,0,שדרות,78,10 מתוך 24,0,באר שבע והסביבה,דירה
ז'בוטינסקי 2,"4,000 ₪",12,0,ראשון לציון,100,9 מתוך 9,0,"ראשל""צ והסביבה",דירה
תשרי 62,"3,800 ₪",12,0,כפר שמריהו,70,11 מתוך 12,0,רמת השרון - הרצליה,דירה
דרך בית לחם 94,"8,000 ₪",12,3.0,מצפה רמון,530,2 מתוך 2,0,באר שבע והסביבה,דירה
סעדיה גאון 10,"2,700 ₪",12,2.0,קרית מוצקין,126,1 מתוך 3,0,קריות,בית פרטי/קוטג'
ההתיישבות 50,"4,500 ₪",12,0,תל אביב יפו,100,8 מתוך 22,1,תל אביב,יחידת דיור
לכיש 40,"3,700 ₪",12,0,תל מונד,80,1 מתוך 1,0,מושבים בשרון,יחידת דיור
השופט חיים כהן 14,"8,000 ₪",12,3.0,ראשון לציון,30,10 מתוך 24,0,"ראשל""צ והסביבה",דירה
השקד 4,"10,500 ₪",12,0,מרכז שפירא,250,9 מתוך 9,0,מושבים בשפלה,דופלקס
קטיף 22,"3,500 ₪",12,3.0,יבנה,55,קרקע מתוך 3,0,גדרה יבנה והסביבה,דירה
גיורא 12,"2,500 ₪",12,0,רמת גן,80,2 מתוך 2,1,רמת גן - גבעתיים,דירה
שמעון בר גיורא 23,"2,300 ₪",12,0,גבעתיים,100,1 מתוך 4,0,רמת גן - גבעתיים,דירה
צין 692,"4,200 ₪",12,0,קרית מוצקין,40,1 מתוך 2,0,קריות,דירה
השלום 101,"3,900 ₪",12,0,תל אביב יפו,129,2 מתוך 3,0,תל אביב,דירת גן
יוסף בורג 8,"3,300 ₪",1,0,ראשון לציון,130,1 מתוך 5,0,"ראשל""צ והסביבה",יחידת דיור
יפתח הגלעדי 12,"2,350 ₪",12,0,אילת,250,3 מתוך 3,1,אילת והערבה,יחידת דיור
הניצנים 6,"4,000 ₪",12,0,אשקלון,55,2 מתוך 3,0,אשדוד - אשקלון,יחידת דיור
גיורא יוספטל 149,"3,500 ₪",12,0,לוד,80,1 מתוך 5,2,רמלה - לוד,יחידת דיור
פייר אוגוסט רנואר 71,"4,300 ₪",12,0,אופקים,100,1 מתוך 1,0,באר שבע והסביבה,יחידת דיור
סיון 7,"3,300 ₪",12,3.0,חיפה,40,2 מתוך 8,0,חיפה וחוף הכרמל,דירה
שדרות גושן 29,"2,850 ₪",12,3.0,הוד השרון,129,קרקע מתוך 1,0,הוד השרון והסביבה,דירה
כצנלסון 13,"3,000 ₪",12,0,תל אביב יפו,130,1 מתוך 4,2,תל אביב,דירה
המורד 9,"1,600 ₪",12,0,תל אביב יפו,85,5 מתוך 9,0,תל אביב,דירה
אברהם בן דוד 41,"1,600 ₪",1,0,גבעתיים,58,2 מתוך 3,0,רמת גן - גבעתיים,יחידת דיור
בן סירא 2,"5,800 ₪",12,0,רמת גן,90,3 מתוך 4,0,רמת גן - גבעתיים,דירה
אבן גבירול 5,"6,000 ₪",12,3.0,נהריה,40,1 מתוך 3,0,עכו - נהריה,דירה
זאב טיומקין 15,"3,300 ₪",12,4.0,הרצליה,120,2 מתוך 6,2,רמת השרון - הרצליה,דירה
יגאל אלון 7,"6,200 ₪",12,0,כפר סבא,82,6 מתוך 8,0,רעננה - כפר סבא,דירה
ירושלים 132,"7,000 ₪",12,4.5,תל אביב יפו,65,2 מתוך 4,1,תל אביב,דירה
שקד 52,"4,000 ₪",12,0,רחובות,100,2 מתוך 2,0,נס ציונה - רחובות,דירה
הר הצופים 5,"5,200 ₪",12,0,כפר סבא,70,קרקע מתוך קרקע,0,רעננה - כפר סבא,דירה
סמטת הלוטם 6,"5,500 ₪",12,0,רמת גן,100,3 מתוך 3,1,רמת גן - גבעתיים,דירה
מנות 1,"2,500 ₪",12,0,אשקלון,50,1 מתוך 1,0,אשדוד - אשקלון,יחידת דיור
שדרות ששת הימים 160,"3,700 ₪",12,0,באר שבע,45,12 מתוך 16,1,באר שבע והסביבה,דירה
וינגייט 68,"3,000 ₪",1,0,חיפה,90,קרקע מתוך קרקע,1,חיפה וחוף הכרמל,דירה
נטעים 29,"8,500 ₪",12,0,גבעתיים,112,2 מתוך 3,1,רמת גן - גבעתיים,דירה
נחל אשכול 411,"2,400 ₪",0,0,באר שבע,60,2 מתוך 3,1,באר שבע והסביבה,דירה
משעול שפירא 3,"2,600 ₪",12,0,קדימה צורן,125,1 מתוך 3,0,מושבים בשרון,דירה
יהושע גיבשטיין 8,"5,500 ₪",12,0,אחיטוב,97,קרקע מתוך 2,0,חדרה וישובי עמק חפר,גג/פנטהאוז
משעול שפירא 3,"2,600 ₪",12,3.0,רמת ישי,80,2 מתוך 3,0,עמק יזרעאל,דירה
יהושע גיבשטיין 8,"5,500 ₪",12,6.5,תל אביב יפו,94,קרקע מתוך קרקע,1,תל אביב,גג/פנטהאוז
האורנים 15,"12,500 ₪",12,0,חדרה,103,1 מתוך 1,1,חדרה וישובי עמק חפר,בית פרטי/קוטג'
עין עקב 6,"2,100 ₪",12,0,רמת גן,120,2 מתוך 2,0,רמת גן - גבעתיים,דירה
עפרה חזה 15,"4,700 ₪",12,0,מודיעין מכבים רעות,60,2 מתוך 4,0,מודיעין והסביבה,דירה
יהודה עמיחי 7,"10,500 ₪",10,3.0,באר שבע,80,3 מתוך 3,1,באר שבע והסביבה,דירה
האיריס 6,"3,800 ₪",12,0,אשקלון,105,1 מתוך 1,2,אשדוד - אשקלון,דירה
עולי הגרדום 12,"6,250 ₪",12,0,בת ים,81,2 מתוך 2,1,חולון - בת ים,דירה
התאנה 1,0,12,0,באר שבע,65,2 מתוך 4,1,באר שבע והסביבה,יחידת דיור
סתוונית 44,"4,800 ₪",1,0,אשקלון,90,3 מתוך 3,2,אשדוד - אשקלון,יחידת דיור
דרך בן גוריון 123,"6,000 ₪",12,0,בת ים,35,קרקע מתוך קרקע,1,חולון - בת ים,דירה
דרך בן גוריון 174,"7,200 ₪",12,0,הרצליה,100,1 מתוך 3,1,רמת השרון - הרצליה,דירה
אירוס 4,"2,700 ₪",11,4.0,בת ים,60,קרקע מתוך קרקע,3,חולון - בת ים,דירה
שלמה בן יוסף 25,"24,000 ₪",12,0,קרית ארבע,36,קרקע מתוך קרקע,1,ירושלים והסביבה,סאבלט
שליט 1,0,12,3.0,אריאל,70,4 מתוך 12,1,יישובי השומרון,דירה
שדרות ששת הימים 168,"6,000 ₪",12,2.5,נתניה,300,4 מתוך 6,0,נתניה והסביבה,דירה
דרך הים 1,"5,600 ₪",1,0,באר שבע,80,קרקע מתוך קרקע,1,באר שבע והסביבה,דירת גן
שדרות דוד המלך 15,"4,000 ₪",12,0,לוד,99,2 מתוך 2,1,רמלה - לוד,דירה
שובל 45,"3,500 ₪",12,0,חיפה,236,3 מתוך 4,1,חיפה וחוף הכרמל,יחידת דיור
הקיבוצים 68,"3,400 ₪",12,0,מודיעין מכבים רעות,300,3 מתוך 4,0,מודיעין והסביבה,דירה
שלמה בן יוסף 10,"8,500 ₪",12,0,עומר,80,קרקע מתוך 3,1,באר שבע והסביבה,דירה
פרישמן 47,"4,100 ₪",12,6.0,הרצליה,99,3 מתוך 3,0,רמת השרון - הרצליה,יחידת דיור
"מלבי""ם 8","3,500 ₪",12,0,בית דגן,236,1 מתוך 8,0,"ראשל""צ והסביבה",דירה
ז'בוטינסקי 54,"12,000 ₪",12,1.0,חולון,170,1 מתוך 1,2,חולון - בת ים,דירה
יונה 24,"6,200 ₪",12,0,פתח תקווה,68,קרקע מתוך 4,1,פתח תקוה והסביבה,דירה
הצנחנים 5,"4,300 ₪",12,0,באר שבע,350,2 מתוך 2,0,באר שבע והסביבה,דירה
שווידלסון 2,"7,700 ₪",12,0,בת ים,45,קרקע מתוך קרקע,1,חולון - בת ים,דירה
אהרונוביץ' 14,"7,200 ₪",12,0,בני ברק,75,3 מתוך 3,0,רמת גן - גבעתיים,דירה
נחום הנביא 5,"9,600 ₪",12,0,ניר בנים,100,קרקע מתוך קרקע,1,מושבים בשפלה,דירה
יעקב תמרי 16,"6,350 ₪",12,1.0,פתח תקווה,260,1 מתוך 5,1,פתח תקוה והסביבה,דירה
שלמה המלך 12,"4,000 ₪",12,0,באר שבע,160,3 מתוך 4,1,באר שבע והסביבה,דירה
האלון 1,"3,600 ₪",12,0,באר שבע,24,2 מתוך 7,2,באר שבע והסביבה,יחידת דיור
אהוד 9,"5,950 ₪",12,0,רמת גן,74,2 מתוך 16,1,רמת גן - גבעתיים,דירה
צבי סגל 27,"2,800 ₪",12,1.0,חיפה,50,2 מתוך 2,2,חיפה וחוף הכרמל,יחידת דיור
ליאו פיקרד 42,"3,000 ₪",12,5.0,שדרות,76,1 מתוך 3,1,באר שבע והסביבה,דירה
הרב מיימון 37,"3,100 ₪",12,0,בת ים,213,1 מתוך 4,1,חולון - בת ים,דירה
שיינקין 82,"6,700 ₪",12,0,אשדוד,40,10 מתוך 14,0,אשדוד - אשקלון,דירה
שלום אש 13,"3,200 ₪",12,0,שוהם,78,1 מתוך 2,0,מודיעין והסביבה,דירה
שדרות יצחק רבין 1,"7,100 ₪",1,3.0,תל אביב יפו,85,2 מתוך 4,0,תל אביב,דירה
הרימון 33,"3,500 ₪",12,0,באר יעקב,1500,4 מתוך 4,0,"ראשל""צ והסביבה",יחידת דיור
צבר 3,"7,400 ₪",12,3.5,אשדוד,74,קרקע מתוך קרקע,0,אשדוד - אשקלון,דו משפחתי
שדרות לוי אשכול 57,"13,000 ₪",12,0,עדי,210,2 מתוך 4,1,עמק יזרעאל,דירה
אלי כהן 14,"4,000 ₪",12,2.0,חדרה,267,2 מתוך 9,0,חדרה וישובי עמק חפר,דירה
"הראב""ע 10","3,600 ₪",12,4.0,נהריה,61,5 מתוך 12,0,עכו - נהריה,יחידת דיור
שרה אהרונסון 7,"5,300 ₪",12,0,גבעת שמואל,100,קרקע מתוך 58,1,בקעת אונו,דירה
אביגיל 4,0,12,0,ירושלים,110,3 מתוך 4,1,ירושלים והסביבה,דירת גן
הנביאים 62,"2,200 ₪",12,0,חיפה,90,1 מתוך 4,0,חיפה וחוף הכרמל,דירה
סוקולוב 24,"7,150 ₪",12,0,שדרות,60,2 מתוך 9,1,באר שבע והסביבה,דירה
אביגיל 4,0,12,0,טבריה,80,5 מתוך 12,0,טבריה והסביבה,דירת גן
הנביאים 62,"2,200 ₪",12,0,אחיעזר,100,קרקע מתוך 58,1,מושבים במרכז,דירה
סוקולוב 24,"7,150 ₪",1,1.0,פתח תקווה,75,3 מתוך 4,0,פתח תקוה והסביבה,דירה
מוטה גור 5,"8,950 ₪",12,0,עספיא,60,1 מתוך 4,0,חיפה וחוף הכרמל,דירה
יוספטל 78,"3,600 ₪",12,3.5,חיפה,108,18 מתוך 30,1,חיפה וחוף הכרמל,דירה
דוד המלך 9,"2,300 ₪",12,0,תל אביב יפו,65,4 מתוך 5,0,תל אביב,דירה
מוריה 13,"3,550 ₪",1,0,באר שבע,40,4 מתוך 4,1,באר שבע והסביבה,דירה
קרל פופר 1,"9,000 ₪",12,0,דימונה,30,1 מתוך 3,0,באר שבע והסביבה,דירה
ז'בוטינסקי 15,"2,500 ₪",12,2.0,אחיעזר,140,1 מתוך 5,0,מושבים במרכז,יחידת דיור
אנה פרנק 6,"3,400 ₪",12,1.0,פתח תקווה,95,1 מתוך 3,0,פתח תקוה והסביבה,דירה
דרך יד לבנים 182,"3,000 ₪",12,0,עספיא,75,5 מתוך 9,1,חיפה וחוף הכרמל,דירה
תכלת 75,"7,100 ₪",12,3.5,חיפה,90,1 מתוך 3,1,חיפה וחוף הכרמל,דירה
סתוונית 5,"8,000 ₪",12,0,תל אביב יפו,30,1 מתוך 2,0,תל אביב,בית פרטי/קוטג'
הכרמל 13,"8,000 ₪",2,0,באר שבע,140,4 מתוך 4,1,באר שבע והסביבה,בית פרטי/קוטג'
התמר 21,"3,200 ₪",12,0,דימונה,95,12 מתוך 18,0,באר שבע והסביבה,יחידת דיור
הפורצים 7,"4,700 ₪",12,2.0,קרית אתא,75,2 מתוך 4,2,קריות,דירה
יוספסברג 7,"3,400 ₪",12,0,פתח תקווה,90,1 מתוך 2,1,פתח תקוה והסביבה,דירה
שלמה המלך 22,"2,400 ₪",12,0,קרית ים,135,5 מתוך 8,1,קריות,יחידת דיור
הרצל 32,"5,200 ₪",12,3.0,יבנה,80,קרקע מתוך 14,1,גדרה יבנה והסביבה,דירה
הרב חי טייב 4,"4,800 ₪",12,3.0,חיפה,55,קרקע מתוך קרקע,2,חיפה וחוף הכרמל,דירה
שדרת הורד 418,"3,800 ₪",12,1.0,בית שמש,80,7 מתוך 7,0,בית שמש והסביבה,דירת גן
חדרה 8,"5,500 ₪",12,3.0,טירת כרמל,120,1 מתוך 15,0,חיפה וחוף הכרמל,דירה
מרדכי מקלף 3,"2,780 ₪",12,0,ירושלים,70,1 מתוך 1,1,ירושלים והסביבה,דירה
גיורא יוספטל 26,0,12,0,רעננה,90,5 מתוך 6,1,רעננה - כפר סבא,דירה
הבנים 6,"2,500 ₪",12,4.0,פתח תקווה,55,3 מתוך 6,1,פתח תקוה והסביבה,דירה
יהורם גאון 1,"7,990 ₪",12,0,תל עדשים,80,קרקע מתוך קרקע,0,עמק יזרעאל,דופלקס
משעול הגליל 2,"2,900 ₪",12,2.0,גבעתיים,70,2 מתוך 4,1,רמת גן - גבעתיים,דירה
אנילביץ' 9,"3,200 ₪",0,0,ירושלים,112,1 מתוך 3,0,ירושלים והסביבה,דירה
הרב ריינס 27,"2,500 ₪",12,0,ירושלים,50,קרקע מתוך קרקע,0,ירושלים והסביבה,יחידת דיור
האתרוג 2,"6,900 ₪",12,0,רמת גן,40,2 מתוך 3,1,רמת גן - גבעתיים,דירת גן
גרציאני יצחק 6,"13,000 ₪",12,0,גבעת שמואל,68,1 מתוך 4,0,בקעת אונו,דירה
החבצלת 54,"5,300 ₪",12,0,כרמיאל,45,קרקע מתוך 1,1,כרמיאל והסביבה,דירה
נחום הנביא 9,"5,500 ₪",12,0,ירושלים,42,7 מתוך 7,0,ירושלים והסביבה,דירה
ספיר 62,"2,900 ₪",12,0,פתח תקווה,185,קרקע מתוך 4,0,פתח תקוה והסביבה,יחידת דיור
שדרות רחבעם זאבי 1,"6,600 ₪",12,0,באר שבע,130,2 מתוך 9,0,באר שבע והסביבה,דירה
הזמיר 10,"4,000 ₪",12,0,תל אביב יפו,101,2 מתוך 8,0,תל אביב,דירה
דוד בן גוריון 11,"3,900 ₪",12,0,באר שבע,118,קרקע מתוך קרקע,0,באר שבע והסביבה,דירה
דרך חברון 63,"6,800 ₪",11,0,באר יעקב,126,1 מתוך 23,0,"ראשל""צ והסביבה",דירה
יצחק אלחנן 10,"3,900 ₪",12,3.0,עין ורד,22,2 מתוך 8,0,מושבים בשרון,דירה
אהבת ציון 4,"2,800 ₪",12,3.0,תל אביב יפו,40,קרקע מתוך קרקע,1,תל אביב,דירת גן
שלמה המלך 17,"3,300 ₪",12,0,ירוחם,85,1 מתוך 23,1,באר שבע והסביבה,דירה
הרימון 390,"1,900 ₪",12,4.0,כפר הס,360,2 מתוך 2,0,מושבים בשרון,סאבלט
הרב ניימן 8,"4,600 ₪",12,4.5,מודיעין מכבים רעות,77,13 מתוך 14,1,מודיעין והסביבה,דירה
שדרות אבא חושי 1,"2,500 ₪",12,5.0,פתח תקווה,50,1 מתוך 7,0,פתח תקוה והסביבה,דירת גן
מסדה 46,"2,700 ₪",12,0,גבעות בר,259,1 מתוך 1,0,באר שבע והסביבה,דירה
ישראל מסלנט 21,"6,600 ₪",12,3.0,תל אביב יפו,220,1 מתוך 1,0,תל אביב,דירה
שיטה 32,"10,000 ₪",12,0,רמת גן,60,1 מתוך 3,0,רמת גן - גבעתיים,בית פרטי/קוטג'
טיילת הספורט 293,"2,400 ₪",12,5.0,בת ים,120,קרקע מתוך קרקע,0,חולון - בת ים,דירה
הרימון 390,"1,900 ₪",0,3.0,כוכב יעקב,104,קרקע מתוך 3,1,ירושלים והסביבה,סאבלט
הרב ניימן 8,"4,600 ₪",12,2.0,חיפה,213,1 מתוך 4,0,חיפה וחוף הכרמל,דירה
שדרות אבא חושי 1,"2,500 ₪",12,0,פתח תקווה,125,1 מתוך 1,0,פתח תקוה והסביבה,דירת גן
מסדה 46,"2,700 ₪",12,0,קרית ים,104,4 מתוך 16,1,קריות,דירה
ישראל מסלנט 21,"6,600 ₪",12,0,ירושלים,213,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
שיטה 32,"10,000 ₪",12,0,חדרה,125,1 מתוך 4,0,חדרה וישובי עמק חפר,בית פרטי/קוטג'
טיילת הספורט 293,"2,400 ₪",12,0,רמת גן,220,קרקע מתוך 3,0,רמת גן - גבעתיים,דירה
חנקין 12,"2,900 ₪",12,5.0,בת ים,50,1 מתוך 7,0,חולון - בת ים,דירה
יצחק בן צבי 27,"7,600 ₪",12,3.0,כוכב יעקב,112,2 מתוך 2,1,ירושלים והסביבה,דירה
שדרות רוברט סולד 1,"3,000 ₪",12,2.0,חיפה,100,1 מתוך 3,0,חיפה וחוף הכרמל,דירה
דבורה עומר 10,"5,700 ₪",12,0,פתח תקווה,68,3 מתוך 3,1,פתח תקוה והסביבה,דירה
דוד אלעזר 10,500 ₪,12,0,קרית ים,210,3 מתוך 3,1,קריות,תיירות ונופש
רמת בית שמש ד' 4 1,"3,850 ₪",12,0,ירושלים,160,4 מתוך 4,1,ירושלים והסביבה,דירה
שדרות יצחק שמיר 11,"4,800 ₪",12,0,חדרה,72,1 מתוך 5,1,חדרה וישובי עמק חפר,דירה
אליהו מרידור 22,"5,000 ₪",12,0,תל אביב יפו,110,14 מתוך 15,1,תל אביב,דירה
עקיבא 23,"7,300 ₪",12,0,ראשון לציון,60,14 מתוך 16,1,"ראשל""צ והסביבה",דירה
"י""ד הבנים 10","6,900 ₪",12,0,פתח תקווה,125,קרקע מתוך 3,3,פתח תקוה והסביבה,דירה
שזיף 1,"2,550 ₪",12,0,הילה,110,2 מתוך 4,0,גליל ועמקים,יחידת דיור
"הל""ה 60","8,200 ₪",0,2.0,אבו גוש,65,1 מתוך 1,1,ירושלים והסביבה,דירה
חיים ולירו 11,"3,500 ₪",12,3.5,נהריה,112,קרקע מתוך 1,2,עכו - נהריה,דירה
ג'ורג' וושינגטון 23,"5,200 ₪",12,3.0,קרית אתא,30,2 מתוך 2,0,קריות,סאבלט
"הרא""ה 144","5,200 ₪",12,0,באר שבע,180,קרקע מתוך 1,0,באר שבע והסביבה,דירה
הנשיא 8,"4,100 ₪",12,0,תל אביב יפו,45,1 מתוך 2,0,תל אביב,דירה
חטיבת יפתח 63,"4,250 ₪",12,0,באר יעקב,120,קרקע מתוך 32,0,"ראשל""צ והסביבה",דירת גן
אברהם שרון 13,"5,800 ₪",12,3.0,ירושלים,87,קרקע מתוך 2,1,ירושלים והסביבה,דירה
רוטשילד 12,"5,700 ₪",12,0,פתח תקווה,100,4 מתוך 4,0,פתח תקוה והסביבה,דירה
רינגלבלום 54,"1,850 ₪",12,0,גבעתיים,70,קרקע מתוך קרקע,0,רמת גן - גבעתיים,דירה
נחום סוקולוב 14,"4,900 ₪",12,0,נתיבות,120,קרקע מתוך 2,0,באר שבע והסביבה,דירה
רבי עקיבא 48,"2,600 ₪",12,4.0,תל אביב יפו,95,קרקע מתוך 29,0,תל אביב,דירה
אלות 5,"5,400 ₪",12,0,באר יעקב,40,3 מתוך 11,1,"ראשל""צ והסביבה",דירה
הצאלון 6,"7,000 ₪",0,5.0,גבעתיים,35,קרקע מתוך קרקע,0,רמת גן - גבעתיים,בית פרטי/קוטג'
בר גיורא 18,"4,950 ₪",12,0,ירושלים,40,5 מתוך 14,0,ירושלים והסביבה,דירה
יצחק שדה 622,"3,650 ₪",12,0,תל אביב יפו,40,3 מתוך 3,0,תל אביב,בית פרטי/קוטג'
ההדרים 15,"11,000 ₪",12,0,רחובות,90,2 מתוך 2,0,נס ציונה - רחובות,בית פרטי/קוטג'
עמק חפר 1,"6,900 ₪",12,0,נהריה,110,3 מתוך 3,0,עכו - נהריה,דירה
ברוך שפינוזה 11,"4,500 ₪",12,0,נתניה,60,3 מתוך 11,0,נתניה והסביבה,דירה
זוטה 27,"4,500 ₪",12,0,פתח תקווה,70,קרקע מתוך קרקע,1,פתח תקוה והסביבה,יחידת דיור
חובות הלבבות 31,"3,000 ₪",1,0,שתולים,145,5 מתוך 14,1,אשדוד - אשקלון,סטודיו/לופט
יסמין 9,"2,900 ₪",12,3.0,באר יעקב,90,3 מתוך 3,0,"ראשל""צ והסביבה",דירה
הברושים 13,"4,400 ₪",12,1.0,קרית ים,700,2 מתוך 2,1,קריות,בית פרטי/קוטג'
רוקח 112,0,1,0,אשקלון,65,3 מתוך 3,1,אשדוד - אשקלון,גג/פנטהאוז
בלפור 151,"4,600 ₪",12,0,ירושלים,160,20 מתוך 25,1,ירושלים והסביבה,דירה
הר המור 380,"2,400 ₪",12,0,תל אביב יפו,107,3 מתוך 3,1,תל אביב,דירה
שבטי ישראל 16,"2,700 ₪",12,0,חיפה,610,קרקע מתוך 4,0,חיפה וחוף הכרמל,דירה
אסירי ציון 22,"7,600 ₪",12,0,ירושלים,100,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
השופטים 8,"2,000 ₪",12,2.0,עכו,54,2 מתוך 4,2,עכו - נהריה,דירה
קרית משה 3,"9,500 ₪",12,0,מבשרת ציון,110,3 מתוך 4,1,ירושלים והסביבה,דירה
הלל יפה 22,"4,100 ₪",12,1.0,באר שבע,60,2 מתוך 4,0,באר שבע והסביבה,דירה
הברושים 13,"4,400 ₪",12,0,באר יעקב,107,7 מתוך 9,2,"ראשל""צ והסביבה",בית פרטי/קוטג'
רוקח 112,0,12,2.0,גן הדרום,610,1 מתוך 4,1,אשדוד - אשקלון,גג/פנטהאוז
בלפור 151,"4,600 ₪",12,1.0,עפולה,100,2 מתוך 3,0,עמק יזרעאל,דירה
הר המור 380,"2,400 ₪",12,0,באר שבע,54,2 מתוך 4,0,באר שבע והסביבה,דירה
שבטי ישראל 16,"2,700 ₪",12,0,תל אביב יפו,110,1 מתוך 4,0,תל אביב,דירה
אסירי ציון 22,"7,600 ₪",0,0,באר יעקב,60,6 מתוך 7,1,"ראשל""צ והסביבה",דירה
השופטים 8,"2,000 ₪",12,2.0,גן הדרום,250,קרקע מתוך קרקע,0,אשדוד - אשקלון,דירה
קרית משה 3,"9,500 ₪",12,1.0,עפולה,65,1 מתוך 3,0,עמק יזרעאל,דירה
הלל יפה 22,"4,100 ₪",12,0,באר שבע,65,קרקע מתוך קרקע,2,באר שבע והסביבה,דירה
מטולה 2,"11,000 ₪",0,0,תל אביב יפו,55,1 מתוך 2,0,תל אביב,דירה
הרקפת 82,"4,200 ₪",12,0,רחובות,70,4 מתוך 6,0,נס ציונה - רחובות,יחידת דיור
חפץ חיים 66,"5,000 ₪",12,0,רמת גן,41,קרקע מתוך 11,2,רמת גן - גבעתיים,דירה
הילה,"3,000 ₪",12,0,הרצליה,80,2 מתוך 4,1,רמת השרון - הרצליה,יחידת דיור
השדות 22,"3,700 ₪",12,0,ירושלים,1,קרקע מתוך קרקע,1,ירושלים והסביבה,יחידת דיור
מסריק 8,"3,800 ₪",12,3.0,שערי תקווה,96,2 מתוך 3,3,יישובי השומרון,דירה
השבעה 47,"2,999 ₪",12,2.0,חיפה,100,2 מתוך 4,1,חיפה וחוף הכרמל,דירה
סיני 30,"3,000 ₪",12,0,פתח תקווה,120,2 מתוך 2,0,פתח תקוה והסביבה,דירה
המליץ 8,"12,000 ₪",12,0,באר שבע,70,2 מתוך 4,2,באר שבע והסביבה,דירה
שדרות נעמי שמר 7,"6,500 ₪",12,0,חיפה,112,3 מתוך 4,0,חיפה וחוף הכרמל,דירה
הרב קוק 7,"5,400 ₪",12,0,זכרון יעקב,72,7 מתוך 8,0,זכרון - בנימינה,דירה
"האר""י הקדוש 3","2,850 ₪",12,1.0,חולון,80,6 מתוך 30,1,חולון - בת ים,יחידת דיור
